w	01111001	121
m	10110110	182
w	00110011	51
m	00010000	16
m	10011010	154
m	10111011	187
m	00100010	34
w	01111010	122
m	01011010	90
m	11100100	228
w	00101010	42
r	11000110	198
m	01011000	88
r	11000011	195
w	01010001	81
w	00111101	61
w	00100111	39
w	01111001	121
w	11010110	214
f
w	11111101	253
m	11001011	203
m	00111101	61
w	10100111	167
w	01110111	119
m	01000000	64
r	11011100	220
w	11101000	232
m	11110000	240
m	11110011	243
m	00110011	51
m	01110011	115
r	00000001	1
w	01000110	70
m	10110111	183
m	01010011	83
m	00010111	23
r	00010000	16
m	11101110	238
f
r	01001000	72
w	11110011	243
w	00011011	27
w	11110011	243
w	01000110	70
w	00101011	43
r	10100100	164
r	11110110	246
m	11110101	245
r	10101000	168
m	11011111	223
r	10111001	185
m	00110010	50
r	00100110	38
m	01110000	112
m	00010100	20
w	10001101	141
m	10110110	182
m	11110011	243
f
w	01110010	114
m	11001001	201
m	00111111	63
m	01110101	117
r	01010010	82
m	01011111	95
r	11111001	249
r	11111000	248
w	11000111	199
m	11111100	252
w	11110001	241
m	11110100	244
w	11111000	248
w	11111110	254
m	10001000	136
m	11010000	208
w	10100001	161
r	11111011	251
m	11110100	244
f
r	01101101	109
r	10010000	144
r	00111010	58
m	10111101	189
w	10011100	156
r	00101000	40
w	00111000	56
w	01000001	65
m	10100010	162
m	11100010	226
r	00100100	36
w	00110001	49
m	10111011	187
m	11000111	199
m	01100011	99
w	00010010	18
m	10010100	148
w	11110111	247
w	00001101	13
f
r	10111100	188
